UsageData 2026-05-12,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,STICK MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,FORMED MODEL,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,CATIA,SEALING,Success,EU,1/7/2025,1/7/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
MULTI 3D OPS,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
RENAME ENTITIES,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
RENAME ENTITIES,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
RENAME ENTITIES,EXECUTION,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
DESIGN TOOLKIT,MOLD MARK,CATIA,SEALING,Success,ASIA,1/7/2025,1/7/2025,TRUE,FALSE
